카테고리,국문명,영문명,지역,주소,평점,리뷰수,About
벼룩시장 & 재래시장,별빛남문시장,Byeolbichnammunsijang,-,정보 부족,5.0,2,정보 부족
벼룩시장 & 재래시장,잠실 새마을 전통시장,Jamsil Saemaeul Jeontongsijang,-,정보 부족,5.0,1,정보 부족
벼룩시장 & 재래시장,화양제일시장,Hwayangjeilsijang,-,정보 부족,5.0,1,정보 부족
벼룩시장 & 재래시장,장위전통시장,Jangwi Traditional Market,성북구,정보 부족,-,-,정보 부족
벼룩시장 & 재래시장,성내전통시장,Seongnae Traditional Market,-,정보 부족,-,-,정보 부족
벼룩시장 & 재래시장,마루존 김치 백화점,Maruzon Kimchi Market,-,정보 부족,2.0,1,정보 부족
벼룩시장 & 재래시장,금남시장,Geumnam Market,-,정보 부족,-,-,정보 부족
벼룩시장 & 재래시장,신영시장,Sin-yeongsijang,-,정보 부족,5.0,1,정보 부족
벼룩시장 & 재래시장,백운시장,Baekwoon Market,-,정보 부족,-,-,정보 부족
벼룩시장 & 재래시장,용산 용문전통시장,Yongsan Yongmunjeontongsijang,-,정보 부족,-,-,정보 부족
벼룩시장 & 재래시장,강남 영동전통시장,Gangnam Yeongdong Traditional Market,-,정보 부족,-,-,정보 부족
벼룩시장 & 재래시장,대림중앙시장(2),Daelimjung_angsijang,-,정보 부족,-,-,정보 부족
벼룩시장 & 재래시장,해방촌 신흥시장(추가등록),haebangchon sinheungsijang,-,정보 부족,-,-,정보 부족
벼룩시장 & 재래시장,황학동 만물시장,hwanghagdong manmulsijang,-,정보 부족,-,-,정보 부족
쇼핑몰,스타필드 코엑스몰,Starfield COEX Mall,강남구,서울 강남구 영동대로 513,4.0,902,아시아 최대의 지하 쇼핑몰. 국내외 브랜드와 아쿠아리움·영화관·김치박물관 등 관광명소가 함께 있음
쇼핑몰,타임스퀘어,Times Square Mall,영등포구,정보 부족(인근지역: 영등포구),4.1,223,"고급 식당·숙박시설·브랜드 쇼핑·엔터테인먼트 제공, 컨벤션센터와 대형 영화관 스크린 보유"
쇼핑몰,고투 몰,GOTO Mall,서초구,서울 서초구 신반포로 194,4.1,290,"센트럴시티와 고속터미널을 잇는 서울 최대 지하상가, 여성의류 중심의 저렴한 쇼핑"
쇼핑몰,동대문 쇼핑몰,Dongdaemun Shopping Complex,중구,정보 부족(인근지역: 중구),3.8,578,"아시아 최대 단일마켓, 4개 건물로 구성된 패션·원단 도매 쇼핑복합단지"
쇼핑몰,아이파크몰,I'Park Mall,용산/삼각지/이촌,서울 용산구 한강대로23길 55,3.9,118,"용산역 연결 복합쇼핑센터, 영화관·맛집·쇼핑을 한 곳에서 즐길 수 있음"
쇼핑몰,더현대 서울,The Hyundai Seoul,여의도,정보 부족(여의도),4.4,20,"2021년 개장한 미래지향적 플래그십 백화점, 팝업스토어가 자주 열려 인기"
쇼핑몰,롯데아울렛 서울역점,Lotte Outlets Seoul Station,중구,서울 중구 한강대로 405,3.6,288,"서울역 인근 아울렛, 다양한 브랜드와 큰 할인폭으로 쇼핑하기 좋은 곳"
쇼핑몰,IFC 몰,IFC Mall,영등포구,서울 영등포구 여의도동 국제금융로 10,4.0,188,"2012년 개장한 여의도 대표 쇼핑몰, 여의도역과 연결되어 접근성 좋음"
쇼핑몰,커먼그라운드,Common Ground,광진구,서울 광진구 아차산로 200,3.7,186,"200여개 컨테이너로 구성된 국내 최대 컨테이너 팝업몰, 건대 인근 인디 감성 복합문화공간"
쇼핑몰,명동지하상가,Myeongdong Underground Shopping Center,중구(명동),서울 중구 남대문로지하 72,3.6,65,"명동역과 연결된 지하상가, 의류·가방·기념품·K-pop 상품 등 판매"
쇼핑몰,에이피엠 플레이스,Apm Place,중구(동대문),서울 중구 을지로 276,3.9,21,"동대문 소재 9층 규모 여성의류 도매쇼핑몰, 현금 결제 위주"
쇼핑몰,스타일난다 핑크호텔,Stylenanda Pink Hotel Flagship Store,명동,서울 중구 명동8길 37-8,4.1,71,"명동의 핑크 컨셉 플래그십 스토어, 최상층 핑크풀 카페로 인기"
쇼핑몰,메세나폴리스몰,Mecenatpolis Mall,마포구(서교동),서울 마포구 양화로 45,3.9,80,"합정역과 연결된 야외형 쇼핑몰, 다양한 브랜드와 카페·식당 입점"
쇼핑몰,광희 패션몰,Kwanghee Fashion Mall,중구(동대문),정보 부족(인근지역: 중구),4.1,46,"동대문 소재 가죽·모피 도매시장, 합리적 가격의 재킷·가방 판매"
쇼핑몰,가든파이브,Garden 5,송파구(장지동),서울 송파구 충민로 66,3.8,31,"장지역 인근 복합쇼핑몰, NC백화점·현대시티몰·영화관 등 입점"
쇼핑몰,회현 지하상가,Hoehyeon Underground Shopping area,중구(명동),정보 부족(인근지역: 명동),3.5,77,"회현역·신세계백화점 인근 지하상가, 빈티지 카메라·희귀 상품으로 알려짐"
쇼핑몰,남평화 상가,Nampyeonghwa Sangga,중구,서울 중구 장충단로 282-10,3.8,35,"동대문 인근 가방·의류 도매상가, 시중가보다 저렴한 가격"
쇼핑몰,굿모닝시티,Good Morning City,중구(동대문),정보 부족(인근지역: 중구),3.4,50,동대문역 인근 패션·기념품 복합쇼핑몰
쇼핑몰,헬로에이피엠,Hello APM,서대문(아현),서울 중구 장충단로 253,3.3,32,"동대문 인근 남녀 패션 전문 쇼핑몰, 흥정 가능한 가격대"
쇼핑몰,명동밀리오레,Myeongdong Migliore,명동,서울 중구 퇴계로 115,3.1,42,"명동역 인근 대형 패션상가, 저렴하지만 노후화된 시설로 평가됨"
쇼핑몰,롯데몰 은평점,Lotte Mall Eunpyeong,은평구,정보 부족,4.3,8,정보 부족
쇼핑몰,퀸마마마켓,Queen Mama Market,압구정/청담,정보 부족,4.8,4,정보 부족
쇼핑몰,현대시티아울렛 - 동대문점,Hyundai City Outlets Dongdaemun,동대문,정보 부족,3.6,14,정보 부족
쇼핑몰,안녕인사동,Annyoung Insadong,인사동,정보 부족,3.9,7,정보 부족
쇼핑몰,Kukje Electronics Center,Kukje Electronics Center,-,정보 부족,4.0,1,정보 부족
쇼핑몰,동대문종합시장,Dongdaemun Shopping Complex (Jongno),동대문,정보 부족,4.0,13,정보 부족
쇼핑몰,동대문지하쇼핑센터,Dongdaemun Underground Shopping Center,동대문/신당동,정보 부족,3.1,16,정보 부족
쇼핑몰,엔터식스 - 왕십리역점,Enter 6 Wangsimni Station,성동구,정보 부족,4.0,3,정보 부족
쇼핑몰,Lottemart Zettaplex Seoul Station,Lottemart Zettaplex Seoul Station,-,정보 부족,4.0,1,정보 부족
쇼핑몰,서울파이낸스센터,Seoul Finance Center,-,정보 부족,3.9,13,정보 부족
쇼핑몰,선인상가,Sonin Plaza,용산/삼각지/이촌,정보 부족,3.3,7,정보 부족
쇼핑몰,Ak& Hongdae,Ak& Hongdae,-,정보 부족,5.0,1,정보 부족
쇼핑몰,HBAF Almond Store Myeongdong No.1,HBAF Almond Store Myeongdong No.1,-,정보 부족,4.8,5,정보 부족
쇼핑몰,종각지하쇼핑센터,Jonggak Basement Shopping Center,광화문/종로,정보 부족,2.7,3,정보 부족
쇼핑몰,엠플라자,M Plaza,-,정보 부족,3.6,11,정보 부족
쇼핑몰,JN 쇼핑몰,JN Shopping Mall,-,정보 부족,3.8,4,정보 부족
쇼핑몰,Jerrybag In Sungsoo Dong,Jerrybag In Sungsoo Dong,-,정보 부족,5.0,1,정보 부족
쇼핑몰,엔터식스 - 파크에비뉴 한양대점,Enter 6 Park Avenue Hanyang University,-,정보 부족,4.0,2,정보 부족
쇼핑몰,인사동 마루,Insadong Maru,인사동,정보 부족,3.9,14,정보 부족
쇼핑몰,에스엠 엔터테인먼트 센터,SM Entertainment Communication Center,-,정보 부족,3.3,7,정보 부족
쇼핑몰,굿러너컴퍼니 북촌점,Goodrunner,-,정보 부족,-,-,정보 부족
쇼핑몰,데이턴 이태원 맞춤 정장 재단사,Dayton Custom Tailor,이태원,정보 부족,-,-,정보 부족
쇼핑몰,해밀턴,Hamilton Shopping Center,이태원,정보 부족,2.7,12,정보 부족
쇼핑몰,메사,Mesa,-,정보 부족,3.1,9,정보 부족
쇼핑몰,와이즈파크 - 홍대,Y&Z Park Hongdae,홍대,정보 부족,3.0,1,정보 부족
쇼핑몰,하이브랜드 프리미엄 아울렛,Hi Brand Premium Outlet,-,정보 부족,3.5,6,정보 부족
쇼핑몰,소공지하도상가,Sogongdong Underground Shopping Center,-,정보 부족,4.0,2,정보 부족
쇼핑몰,센트럴시티,Senteuleolsiti,-,정보 부족,5.0,1,정보 부족
쇼핑몰,롯데월드타워앤드롯데월드몰,Lotte World Tower and Lotte World Mall,송파구,정보 부족(롯데월드타워&몰과 중복 등록 추정),-,-,정보 부족
쇼핑몰,남대문로지하쇼핑센터,Namdaemun Underground Shopping Center,-,정보 부족,-,-,정보 부족
쇼핑몰,Moneybox Hongdae,Moneybox Hongdae,홍대,정보 부족,5.0,2,정보 부족
쇼핑몰,Zunink Plaza,Zunink Plaza,-,정보 부족,-,-,정보 부족
쇼핑몰,제이레퍼토리,Jay Repertory,-,정보 부족,-,-,정보 부족
쇼핑몰,타임스퀘어(중복 등록),Times Square Seoul,영등포구,정보 부족(타임스퀘어와 중복 등록 추정),-,-,정보 부족
쇼핑몰,MIMILINE,MIMILINE,-,정보 부족,-,-,정보 부족
쇼핑몰,안녕인사동(중복 등록),Annyeong Insadong,인사동,정보 부족(안녕인사동과 중복 등록 추정),-,-,정보 부족
쇼핑몰,견생냥품 24시 무인펫샵 노원역점,Picky Paw Nowon Station,노원구,정보 부족,-,-,정보 부족
쇼핑몰,Techno Mart,Techno Mart,-,정보 부족,-,-,정보 부족
쇼핑몰,견생냥품 24시 무인펫샵 송파문정동점,Picky Paw Songpa Munjeong,송파구,정보 부족,-,-,정보 부족
쇼핑몰,견생냥품 24시 무인펫샵 도봉 쌍문역점,Picky Paw Ssangmun Station,도봉구,정보 부족,-,-,정보 부족
쇼핑몰,Beaker,Beaker,-,정보 부족,-,-,정보 부족
쇼핑몰,견생냥품 24시 무인펫샵 공릉 중앙점,Picky Paw Gongneung Central,노원구,정보 부족,-,-,정보 부족
쇼핑몰,Lalamond,Lalamond,-,정보 부족,-,-,정보 부족
쇼핑몰,Retouch : Vintage Clothing Store,Retouch: Vintage Clothing Store,-,정보 부족,-,-,정보 부족
쇼핑몰,에코쟈뎅 잠실롯데타워점,Ecojardin Jamsil LotteTower HairSalon,송파구,정보 부족,5.0,7,정보 부족
쇼핑몰,롯데몰 김포공항점,Lotte Mall Gimpo Airport,강서구,정보 부족,5.0,1,정보 부족
쇼핑몰,Marhen.j Samcheong Flagship Store,Marhen.j Samcheong Flagship Store,삼청동,정보 부족,-,-,정보 부족
쇼핑몰,ILKW Seoul Showroom,ILKW Seoul Showroom,-,정보 부족,-,-,정보 부족
쇼핑몰,Goldenalchemia,Goldenalchemia,-,정보 부족,-,-,정보 부족
쇼핑몰,LCDC 서울,LCDC SEOUL,-,정보 부족,-,-,정보 부족
쇼핑몰,Lalamond(2),Lalamond,-,정보 부족,-,-,정보 부족
쇼핑몰,PIXPOT Insadong Ssamziegil,PIXPOT Insadong Ssamziegil,인사동,정보 부족,-,-,정보 부족
쇼핑몰,견생냥품,GyeonSaengNyangPum,-,정보 부족,-,-,정보 부족
쇼핑몰,NOBLECOCO - Luxury Boutique & Select Shop,NOBLECOCO,-,정보 부족,-,-,정보 부족
쇼핑몰,The House of Sulwhasoo Bukchon,The House of Sulwhasoo Bukchon,북촌,정보 부족,-,-,정보 부족
쇼핑몰,컨버스 강남,Converse Gangnam,강남구,정보 부족,-,-,정보 부족
쇼핑몰,PIXPOT Hongdae,PIXPOT Hongdae,홍대,정보 부족,-,-,정보 부족
쇼핑몰,PIXPOT Gangnam Kyobo Tower,PIXPOT Gangnam Kyobo Tower,강남구,정보 부족,-,-,정보 부족
쇼핑몰,Kuna-jangrong,Kuna-jangrong,-,정보 부족,-,-,정보 부족
쇼핑몰,Lee bodywear,Lee bodywear,-,정보 부족,-,-,정보 부족
쇼핑몰,Lee Bodywea,Lee Bodywea,-,정보 부족,-,-,정보 부족
쇼핑몰,TWW Flagship Store,TWW Flagship Store,-,정보 부족,-,-,정보 부족
쇼핑몰,Villa Di Metrocity,Villa Di Metrocity,강남구,정보 부족,-,-,정보 부족
쇼핑몰,가위,Kawi,-,정보 부족,-,-,정보 부족
쇼핑몰,Coldframe,Coldframe,-,정보 부족,-,-,정보 부족
쇼핑몰,UNDERCONTROL ROAD HIKER (URH),UNDERCONTROL ROAD HIKER (URH),-,정보 부족,-,-,정보 부족
스파/웰니스,스파고결,Spa Gogyeol,서울 강남구 선릉로132길 13 J&C빌딩 4층,강남구,5,269,"한국 전통 ""기 순환"" 철학을 현대적 테라피로 재해석한 프리미엄 웰니스 스파. 2025년 트립어드바이저 서울 스파 부문 1위 수상, 청담·서초 2개 지점 운영."
스파/웰니스,아르케스파,Areuke Spa,정보 부족 (홍대/상수 인근),홍대/상수,5,28,단독 건물의 프리미엄 에스테틱 브랜드로 피부 진단기기와 컬러테라피를 결합한 1:1 맞춤형 케어를 제공.
스파/웰니스,Laurel studio,Laurel studio,서울 World Cup Buk-ro 7 3f,홍대,5,21,한옥 마루에 누워 한복을 입은 테라피스트에게 페이셜 케어를 받는 K-뷰티 체험 공간으로 외국인 여행자에 특화됨.
스파/웰니스,달콤한 게으름,Dolce Far Niente,서울 말리재로 93 2층,공덕,5,12,조용하고 프라이빗한 분위기의 스파로 임산부 산전관리 프로그램도 제공.
스파/웰니스,아로마 타이 스파 공덕점,Aroma Thai Spa Gongdeok,서울 마포구 독막로 320 태영 데시앙101동 지하 101호,도화동,4.9,336,태국인 마사지사가 진행하는 아로마 마사지 전문점으로 가성비가 좋다는 평가가 많음.
스파/웰니스,레비쉬 스파,Lavish Spa,서울 종로구 동숭3길 6-4 2층,종로구/대학로,4.9,98,친절한 직원과 숙련된 마사지로 재방문율이 높은 스파.
스파/웰니스,2s 압구정,2s Apgujeong,서울 강남구 선릉로157길 6 4층,압구정,4.9,16,압구정 지역에 위치한 스파 시설.
스파/웰니스,마르지아 힐링 스파 - 청담,Marzia Healing Spa - Cheongdam,서울 강남구 삼성로119길 23 4층,강남구,4.9,14,이탈리아 홀리스틱 테라피와 한국 에스테틱을 접목한 데이스파로 여드름·슬리밍 케어에 특화됨.
스파/웰니스,스톤 하우스 헤드 스파,Stone House Head Spa,"서울 언주로147길 B63-22 B1, A동",선릉,4.9,11,프라이버시와 사색을 중시하는 프리미엄 헤드스파.
스파/웰니스,크레이트 웰네스,Create Wellness Center,서울 용산구 이태원로 211 한남빌딩 1층,한남동,4.8,30,헬스클럽·요가·필라테스를 겸비한 웰니스 센터.
스파/웰니스,Eco Jardin Aeogae Branch,Eco Jardin Aeogae Branch,서울 Mapodaero 204 2 2nd Floor,애오개/아현,4.8,17,애오개 지점의 스파/헤어 케어 시설.
스파/웰니스,프로방스 스파 바이 록시땅,Provence Spa by L'OCCITANE,서울 종로구 청계천로 279 JW 메리어트 동대문 스퀘어 서울 9층,종로구,4.8,13,프랑스 록시땅 브랜드의 호텔 스파로 이모르뗄 시그니처 트리트먼트로 알려짐.
스파/웰니스,큐 스파 앤 클리닉,Q Spa & Clinic,정보 부족 (잠원동 인근),잠원동,4.7,11,호텔 내에 위치한 스파로 강남·강북 접근성이 좋은 위치.
스파/웰니스,더 스파 그랜드 하얏트 서울,The Spa Grand Hyatt Seoul,서울 용산구 소월로 322 Garden Level,한남동,4.6,53,그랜드 하얏트 호텔 내 9개의 스파 스위트를 갖춘 도심 속 휴식 공간.
스파/웰니스,스파 1899 동인비,Spa 1899 Donginbi,서울 강남구 영동대로 416 KT&G 타워 B2층,강남구,4.6,25,한국 인삼 브랜드 동인비의 인삼 성분 스파 트리트먼트를 제공.
스파/웰니스,Asuca,Asuca,서울 중구 장충단로 213,중구,4.6,10,정보가 제한적인 스파 시설.
스파/웰니스,인사동 한증막,Insadong Spa Sauna,정보 부족 (인근지역: 종로구/삼청동·북촌),삼청동/북촌,4.5,122,"돌과 황토 돔에서 소나무를 태우는 전통 방식의 한증막으로, 원적외선 효과로 미용과 혈액순환 개선에 도움을 준다고 알려짐."
스파/웰니스,헤라,Hera,서울 중구 명동8가길 39 100-860,명동,4.5,12,일본인 고객이 많이 찾는 명동의 에스테틱 살롱.
스파/웰니스,뱀부테라피,Bamboo Therapy,서울 마포구 양화로18안길 22,마포구,4.4,12,가성비 좋은 발+바디 마사지로 알려졌으나 일부 리뷰에서 폐업 가능성이 언급되어 방문 전 확인이 필요함.
스파/웰니스,미조 에스떼 살롱,MIZO Esthe Salon,서울 중구 충무로 2가 66-9,명동,4.3,25,명동역 인근에 위치하며 시간대별 할인이 있는 에스테틱 살롱.
스파/웰니스,Seoulistique Skin,Seoulistique Skin,서울 Mapo-daero 225,애오개,4.3,10,애오개 인근의 스킨케어 시설.
스파/웰니스,설화수 스파,Sulwhasoo Spa,서울 중구 을지로 30 4층,중구,4.1,15,"설화수 제품을 사용한 페이셜 케어가 특화된 스파로, 얼굴 관리에 대한 평가가 마사지보다 좋은 편."
스파/웰니스,Individuel Geneve,Individuel Geneve,"서울 60, Bongeunsa-ro 47-gil",강남구청 인근,3.9,37,강남구청 인근에 위치한 스파/에스테틱 시설.
스파/웰니스,황금스파,Gold Spa,"서울 중구 청계천로 400 B2F, Lotte Castle",동묘 인근,3.9,14,동묘 근처의 대형 찜질방으로 시설은 오래되었으나 주변 관광지 접근성이 좋음.
