관리번호,사업장명,category,업태구분명,위생업태명,도로명주소,지번주소,전화,인허가일자,영업상태,hub,existing_slug,status
3220000-204-1996-01318,오랑헤어,salon,일반미용업,미용업,"서울특별시 강남구 언주로172길 56, 서현빌딩 지상4층 (신사동)",서울특별시 강남구 신사동 663-9 서현빌딩,024952508,1996-06-11,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1997-00749,드 이희(de ihee),salon,일반미용업,미용업,"서울특별시 강남구 선릉로 820, 지상3층 302호 (청담동)",서울특별시 강남구 청담동 85-3,0234460030,1997-12-29,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1997-00820,가온 휴 피부관리실,salon,일반미용업,미용업,"서울특별시 강남구 도산대로15길 6, 5층 501호 (신사동, 대화빌딩)",서울특별시 강남구 신사동 539,025438456,1997-04-01,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1997-00899,수미용실,salon,일반미용업,미용업,"서울특별시 강남구 압구정로 201 (압구정동,금강쇼핑1층20호)",서울특별시 강남구 압구정동 456-0 금강쇼핑1층20호,025432150,1997-09-12,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1997-00949,까라디미용실,salon,일반미용업,미용업,"서울특별시 강남구 언주로154길 14, 지상3층,지상4층 (신사동)",서울특별시 강남구 신사동 631-23,025454000,1997-08-08,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1997-00986,주헤어레시피,salon,일반미용업,미용업,"서울특별시 강남구 도산대로67길 7, 지상2층 (청담동)",서울특별시 강남구 청담동 92-12,,1997-05-27,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1998-00702,윤희 헤어,salon,일반미용업,미용업,"서울특별시 강남구 강남대로160길 21, 6층 (신사동)",서울특별시 강남구 신사동 521-2,025492127,1998-04-13,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-1998-00710,이연진헤어진,salon,일반미용업,미용업,"서울특별시 강남구 논현로161길 16, 지상2층 (신사동)",서울특별시 강남구 신사동 569-18 지상2층,025470069,1998-02-24,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2000-00101,함가본태,salon,일반미용업,미용업,"서울특별시 강남구 도산대로78길 5 (청담동,지상1층)",서울특별시 강남구 청담동 6-9 지상1층,025128789,2000-12-28,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2001-00022,헤어갤러리,salon,일반미용업,미용업,"서울특별시 강남구 논현로157길 48, 지상1층 102호 (신사동)",서울특별시 강남구 신사동 554-25,0234461817,2001-04-20,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2002-00027,정헤어샾,salon,일반미용업,미용업,"서울특별시 강남구 압구정로29길 68 (압구정동,지하1층)",서울특별시 강남구 압구정동 455 지하1층,025441655,2002-06-18,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2002-00123,말랑,salon,일반미용업,미용업,"서울특별시 강남구 선릉로161길 21-3, 샤브센 지상2층,3층 (신사동)",서울특별시 강남구 신사동 662-10 샤브센,,2002-11-22,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2003-00002,지아모헤어,salon,일반미용업,미용업,"서울특별시 강남구 압구정로14길 33, 2층 (신사동)",서울특별시 강남구 신사동 551,0234466058,2003-01-09,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2003-00023,최봉관 프로헤어,salon,일반미용업,미용업,"서울특별시 강남구 도산대로51길 42, 1층 (신사동)",서울특별시 강남구 신사동 657-30,025140412,2003-02-26,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2003-00030,유행통신미용실,salon,일반미용업,미용업,"서울특별시 강남구 압구정로20길 15, 지상1층 102호 (신사동)",서울특별시 강남구 신사동 572-2,,2003-04-18,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2003-00063,야무진미용실,salon,일반미용업,미용업,"서울특별시 강남구 논현로161길 37, 동쪽 지상1층 (신사동)",서울특별시 강남구 신사동 552-5,,2003-04-15,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2003-00112,뷰티살롱 엘리자리,salon,일반미용업,미용업,"서울특별시 강남구 압구정로72길 11, 2004 5층 (청담동)",서울특별시 강남구 청담동 96-2 2004,,2003-03-31,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2003-00142,케이엘,salon,일반미용업,미용업,"서울특별시 강남구 도산대로81길 48-8, 1,2층 (청담동)",서울특별시 강남구 청담동 101-15,,2003-05-13,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2003-00223,김청경헤어페이스,salon,일반미용업,미용업,"서울특별시 강남구 도산대로75길 21, 지상1~3층 (청담동)",서울특별시 강남구 청담동 96-4,0234462700,2003-07-31,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2003-00247,헤어샬롱 성민,salon,일반미용업,미용업,"서울특별시 강남구 압구정로29길 68 (압구정동,금강아케이드(주구센타) 지상2층 203호)",서울특별시 강남구 압구정동 455 금강아케이드(주구센타) 지상2층 203호,025183050,2003-09-01,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2003-00266,정안나스킨케어,salon,일반미용업,미용업,"서울특별시 강남구 압구정로 212, 방우빌딩 지하1층 (신사동)",서울특별시 강남구 신사동 614-7 방우빌딩,025499253,2003-09-23,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2003-00267,비하인드 헤어,salon,일반미용업,미용업,"서울특별시 강남구 선릉로157길 14 (신사동,한주빌딩 지상2층)",서울특별시 강남구 신사동 663-23 한주빌딩 지상2층,,2003-09-23,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2003-00334,박승철헤어스투디오,salon,일반미용업,미용업,"서울특별시 강남구 압구정로 170 (신사동,지상2층)",서울특별시 강남구 신사동 580-2 지상2층,025466676,2003-12-19,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2004-00043,끌로에 김선진,salon,일반미용업,미용업,"서울특별시 강남구 삼성로 772 (청담동,로데오빌딩 3층)",서울특별시 강남구 청담동 48-7 로데오빌딩 3층,025125400,2004-03-11,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2004-00046,앨랭헤어,salon,일반미용업,미용업,"서울특별시 강남구 압구정로34길 11 (신사동,압구정스퀘어 115호)",서울특별시 강남구 신사동 620 압구정스퀘어 115호,0234430727,2004-03-18,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2004-00065,박정아헤어포인트,salon,일반미용업,미용업,"서울특별시 강남구 도산대로25길 38, 지상1층 102호 (신사동)",서울특별시 강남구 신사동 565-13,0234441975,2004-04-14,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2004-00107,김인재헤어샾,salon,일반미용업,미용업,"서울특별시 강남구 압구정로 214, 현대종합상가빌딩 지상1층 7호 (신사동)",서울특별시 강남구 신사동 615 현대종합상가빌딩,025473009,2004-07-15,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2004-00169,헤어플렛,salon,일반미용업,미용업,"서울특별시 강남구 도산대로58길 17 (청담동,서흥빌딩 지상2층)",서울특별시 강남구 청담동 21-17 서흥빌딩 지상2층,,2004-11-15,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2005-00020,진여화미용실,salon,일반미용업,미용업,"서울특별시 강남구 압구정로29길 68 (압구정동,주구센타지상1층104호)",서울특별시 강남구 압구정동 455 주구센타지상1층104호,027202564,2005-02-16,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2005-00062,미진미헤어,salon,일반미용업,미용업,"서울특별시 강남구 논현로157길 16, 지상1층 (신사동)",서울특별시 강남구 신사동 566-19,,2005-05-06,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2005-00090,세일미용실,salon,일반미용업,미용업,"서울특별시 강남구 압구정로29길 71, 지하1층 2호 (압구정동, 금강상가 제2동)",서울특별시 강남구 압구정동 369-1,025484667,2005-06-23,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2005-00145,쓰리스토리바이 강성우 도산점,salon,일반미용업,미용업,서울특별시 강남구 선릉로153길 33 (신사동),서울특별시 강남구 신사동 648-2,,2005-10-18,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2005-00147,윤미피부미용,facial,피부미용업,미용업,"서울특별시 강남구 압구정로30길 17 (신사동,이소니프라자 지하1층5호)",서울특별시 강남구 신사동 609-0 이소니프라자 지하1층5호,025423510,2005-10-20,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2006-00033,크롤. 에이,salon,일반미용업,미용업,"서울특별시 강남구 압구정로46길 73 (신사동,지상3층)",서울특별시 강남구 신사동 648-20 지상3층,025492583,2006-03-13,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2006-00076,오복례헤어&두피케어,salon,일반미용업,미용업,"서울특별시 강남구 언주로157길 6, 5층 (신사동)",서울특별시 강남구 신사동 627-3,025477269,2006-06-28,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2006-00092,엘룩스 청담,salon,일반미용업,미용업,"서울특별시 강남구 선릉로148길 48, 4층 (청담동)",서울특별시 강남구 청담동 19-17,,2006-08-21,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2006-00126,앤드뮤,salon,일반미용업,미용업,"서울특별시 강남구 언주로165길 5, 지하1층 (신사동)",서울특별시 강남구 신사동 623,025495836,2006-10-25,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2006-00128,오프스헤어,salon,일반미용업,미용업,"서울특별시 강남구 압구정로34길 11 (신사동,압구정스퀘어지하102호)",서울특별시 강남구 신사동 620-0 압구정스퀘어지하102호,025455040,2006-11-03,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2006-00154,애브뉴준오,salon,일반미용업,미용업,"서울특별시 강남구 삼성로 728, 준오헤어 청담동 사옥 지하1,지상1~4층 (청담동)",서울특별시 강남구 청담동 63-14 준오헤어 청담동 사옥,0221380605,2006-02-28,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2007-00003,루덴헤어,salon,일반미용업,미용업,"서울특별시 강남구 강남대로 652, 지상2층 204호 B06호 (신사동)",서울특별시 강남구 신사동 504-11,,2007-01-05,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2007-00025,김미덕헤어센스,salon,일반미용업,미용업,"서울특별시 강남구 학동로101길 26, 청담 삼익상가 1층 156호 (청담동)",서울특별시 강남구 청담동 134-20 청담 삼익상가,025126223,2007-03-29,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2007-00054,강미주 토탈뷰티,salon,일반미용업,미용업,"서울특별시 강남구 논현로 863, 2,3층 (신사동)",서울특별시 강남구 신사동 581-4,025115566,2007-05-16,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2007-00150,루치아,salon,일반미용업,미용업,"서울특별시 강남구 압구정로 309, B동 지상 2층 201호 (압구정동, 현대아파트)",서울특별시 강남구 압구정동 481 현대아파트,,2007-11-30,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2008-00008,김화숙헤어,salon,일반미용업,미용업,"서울특별시 강남구 도산대로35길 46 (신사동,리갈팰리스 지상1층 101-B호)",서울특별시 강남구 신사동 626-0 리갈팰리스 지상1층 101-B호,,2008-01-21,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2008-00022,헤어카페홍,salon,일반미용업,미용업,"서울특별시 강남구 학동로 609, 149호, 150호 (청담동, 삼익상가 지상1층)","서울특별시 강남구 청담동 133-3 삼익상가 지상1층 149호,150호",,2008-02-29,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-204-2009-00001,김국애 헤어포엘,salon,일반미용업,미용업,"서울특별시 강남구 압구정로 152 (신사동,301호)",서울특별시 강남구 신사동 575-0 301호,,2009-08-04,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-1990-00001,박승철헤어스투디오 청담점,salon,일반미용업,일반미용업,"서울특별시 강남구 삼성로 740, 지상2층 (청담동)",서울특별시 강남구 청담동 63,0205146167,1990-10-19,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-1992-00002,준오헤어,salon,일반미용업,일반미용업,"서울특별시 강남구 선릉로161길 16, 2층,3층 (신사동)",서울특별시 강남구 신사동 661-9,025165517,1992-09-29,영업,gangnam-cheongdam,juno-hair-garosugil,PENDING_REVIEW
3220000-211-2000-00001,메르시(merci)은이,salon,일반미용업,일반미용업,"서울특별시 강남구 삼성로147길 18, 1층 101호 (청담동)",서울특별시 강남구 청담동 11-23 1층 101호,025458387,2000-05-20,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2002-00003,헤어벤쳐,salon,일반미용업,일반미용업,"서울특별시 강남구 압구정로 113-22, 1층 11호 (압구정동)",서울특별시 강남구 압구정동 415,025964668,2002-09-10,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2003-00007,헤어인러브,salon,일반미용업,일반미용업,"서울특별시 강남구 선릉로148길 39, 2층 (청담동)",서울특별시 강남구 청담동 3-15,025460366,2003-07-10,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2003-00010,사자헤어 3F,salon,일반미용업,일반미용업,"서울특별시 강남구 압구정로46길 27 (신사동,명원빌딩3층)",서울특별시 강남구 신사동 642-4 명원빌딩3층,,2003-04-24,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2003-00013,사자헤어 2F,salon,일반미용업,일반미용업,"서울특별시 강남구 압구정로46길 27 (신사동,지상2층)",서울특별시 강남구 신사동 642-4 지상2층,027156469,2003-04-10,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2004-00008,사랑방미용실,salon,일반미용업,일반미용업,"서울특별시 강남구 논현로167길 21 (신사동,지상1층)",서울특별시 강남구 신사동 570 지상1층,025466818,2004-03-26,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2005-00011,리 에디트,salon,일반미용업,일반미용업,"서울특별시 강남구 선릉로148길 48, 4층 (청담동)",서울특별시 강남구 청담동 19-17,025111980,2005-01-19,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2007-00010,테뜨 리베르떼,salon,일반미용업,일반미용업,"서울특별시 강남구 압구정로 151 (압구정동,현대아파트상가 3동201호)",서울특별시 강남구 압구정동 426-0 현대아파트상가 3동201호,0234426361,2007-02-09,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2008-00008,제오헤어 압구정,salon,일반미용업,일반미용업,"서울특별시 강남구 선릉로161길 18 (신사동,지상1층)",서울특별시 강남구 신사동 661-13 지상1층,025789338,2008-07-03,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2008-00025,에끌라,salon,일반미용업,일반미용업,"서울특별시 강남구 도산대로89길 22 (청담동,남양빌딩 지상1층102호)",서울특별시 강남구 청담동 126-4 남양빌딩 지상1층102호,,2008-09-04,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2008-00058,터치스비(TouchesBy),salon,일반미용업,일반미용업,"서울특별시 강남구 논현로155길 10, 2층 (신사동)",서울특별시 강남구 신사동 565-20,025428236,2008-12-26,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2009-00008,조슈아,salon,일반미용업,일반미용업,"서울특별시 강남구 학동로63길 11 (청담동,지상1층)",서울특별시 강남구 청담동 36-4 지상1층,,2009-02-04,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2009-00124,에반스타일(EVANSTYLE),salon,일반미용업,일반미용업,"서울특별시 강남구 도산대로55길 47, 지상2층 (청담동)",서울특별시 강남구 청담동 84-20,023127273,2009-03-09,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2009-00125,킹스턴 맨즈헤어,salon,일반미용업,일반미용업,"서울특별시 강남구 압구정로42길 12, 지하1층 (신사동)",서울특별시 강남구 신사동 637-11,,2009-01-06,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2010-00034,해피,nail_lash,네일아트업,일반미용업,"서울특별시 강남구 압구정로29길 72-1 (압구정동,신사상가 지상1층)",서울특별시 강남구 압구정동 454-0 신사상가 지상1층,025140233,2010-04-16,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2010-00051,신오키새날,salon,일반미용업,일반미용업,"서울특별시 강남구 압구정로2길 58, 지상2층 (신사동)",서울특별시 강남구 신사동 511-10,,2010-06-07,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2010-00065,준오헤어,salon,일반미용업,일반미용업,"서울특별시 강남구 도산대로 127, 경서빌딩 3층 (신사동)",서울특별시 강남구 신사동 514-10 경서빌딩,0234460605,2010-07-07,영업,gangnam-cheongdam,juno-hair-garosugil,PENDING_REVIEW
3220000-211-2010-00101,택킴(TAEKKIM),salon,일반미용업,일반미용업,"서울특별시 강남구 언주로165길 12, 2층 (신사동)",서울특별시 강남구 신사동 622-9,,2010-10-14,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2011-00053,아이벨르압구현대점,salon,일반미용업,일반미용업,"서울특별시 강남구 압구정로29길 21 (압구정동,현대백화점 뷰티파크 2층)",서울특별시 강남구 압구정동 450 현대백화점 뷰티파크 2층,,2011-08-16,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2011-00090,나(NAA),salon,일반미용업,일반미용업,"서울특별시 강남구 논현로158길 14, 영빌딩 6층 (신사동)",서울특별시 강남구 신사동 591-5 영빌딩,,2011-11-22,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2012-00004,포원 작은행복,salon,일반미용업,일반미용업,"서울특별시 강남구 논현로154길 19, 지상1층 (신사동)",서울특별시 강남구 신사동 591-6 지상1층,025149568,2012-01-31,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2012-00005,H스타일(에비뉴청담점),salon,일반미용업,일반미용업,"서울특별시 강남구 도산대로55길 40, 지상3층 (청담동)",서울특별시 강남구 청담동 83-7 지상3층,,2012-02-01,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2012-00028,에끌라,salon,일반미용업,일반미용업,"서울특별시 강남구 학동로101길 26, 지상1층 130호 (청담동, 삼익상가)",서울특별시 강남구 청담동 134-20,,2012-06-13,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2012-00043,비쥬,salon,일반미용업,일반미용업,"서울특별시 강남구 학동로81길 33, 지상1층 (청담동)",서울특별시 강남구 청담동 63-9,,2012-09-12,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2012-00056,코코네일,nail_lash,네일아트업,일반미용업,"서울특별시 강남구 학동로77길 27, 지상1층 101호 (청담동, 대림아파트 제상가동)",서울특별시 강남구 청담동 30-33 대림아파트 제상가동 지상1층 101호,,2012-12-07,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2012-00057,블링블링,nail_lash,네일아트업,일반미용업,"서울특별시 강남구 학동로101길 26, 172호 (청담동, 청담삼익상가)",서울특별시 강남구 청담동 134-20,,2012-12-11,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2012-00079,에스살롱나인,salon,일반미용업,일반미용업,"서울특별시 강남구 학동로63길 6, 2층 (청담동)",서울특별시 강남구 청담동 44-19,03180173415,2012-03-02,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2013-00009,재클린헤어메이크업,salon,일반미용업,일반미용업,"서울특별시 강남구 삼성로149길 10, 지상1층 (청담동)",서울특별시 강남구 청담동 6-2,0234480505,2013-02-21,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2013-00069,헤움,salon,일반미용업,일반미용업,"서울특별시 강남구 언주로159길 3, 5층 (신사동)",서울특별시 강남구 신사동 627-6,025412055,2013-07-23,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2013-00072,유진헤어,salon,일반미용업,일반미용업,"서울특별시 강남구 도산대로15길 15, 지상4층 (신사동)",서울특별시 강남구 신사동 541-6,,2013-08-06,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2013-00073,네일탐이나,nail_lash,네일아트업,일반미용업,"서울특별시 강남구 선릉로153길 7, 지상2층 (신사동)",서울특별시 강남구 신사동 666,,2013-08-08,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2013-00105,아트랩,salon,일반미용업,일반미용업,"서울특별시 강남구 도산대로78길 16, 지상1층 (청담동)",서울특별시 강남구 청담동 12-17,,2013-11-11,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2013-00111,쌤시크 블랙,salon,일반미용업,일반미용업,"서울특별시 강남구 선릉로146길 27-5, JP 팰리스 지상1층 (청담동)",서울특별시 강남구 청담동 21-13 JP 팰리스,,2013-11-19,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2014-00002,위스도산점(wythe),salon,일반미용업,일반미용업,"서울특별시 강남구 언주로 807, 지하1층 (신사동)",서울특별시 강남구 신사동 628-23 소촌빌딩,,2014-01-03,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2014-00019,이가자 아뜰리에 청담,salon,일반미용업,일반미용업,"서울특별시 강남구 영동대로 708, 지상3층 (청담동)",서울특별시 강남구 청담동 132-19 지상3층,025455573,2014-02-14,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2014-00031,엘리나컴퍼니(엘리나의헤어스파),salon,일반미용업,일반미용업,"서울특별시 강남구 논현로157길 21, 303호 (신사동, 서경빌딩)",서울특별시 강남구 신사동 565-0 서경빌딩 303호,,2014-03-06,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2014-00038,가빈,salon,일반미용업,일반미용업,"서울특별시 강남구 강남대로152길 68, 2층 (신사동)",서울특별시 강남구 신사동 539-4,,2014-03-19,영업,gangnam-cheongdam,,PENDING_REVIEW
3220000-211-2014-00048,헤어투데이,salon,일반미용업,일반미용업,"서울특별시 강남구 삼성로135길 41, 지상1층 103호 (청담동)",서울특별시 강남구 청담동 35-1 지상1층 103호,,2014-04-01,영업,gangnam-cheongdam,,PENDING_REVIEW
