관리번호,사업장명,category,업태구분명,위생업태명,도로명주소,지번주소,전화,인허가일자,영업상태,hub,existing_slug,status
3130000-204-2001-01570,머리하는날,salon,일반미용업,미용업,"서울특별시 마포구 월드컵로 40 (서교동,103호)",서울특별시 마포구 서교동 444-9 103호,023320410,2001-10-10,영업,hongdae,,PENDING_REVIEW
3130000-204-2002-00006,NIM헤어펌,salon,일반미용업,미용업,"서울특별시 마포구 잔다리로3안길 32 (서교동, (지하1층~지상1층))",서울특별시 마포구 서교동 395-201 (지하1층~지상1층),0231429919,2002-02-27,영업,hongdae,,PENDING_REVIEW
3130000-204-2002-00014,펄헤어앤드메이크업,salon,일반미용업,미용업,"서울특별시 마포구 독막로7길 53 (서교동,2층)",서울특별시 마포구 서교동 395-21 2층,023383406,2002-04-10,영업,hongdae,,PENDING_REVIEW
3130000-204-2002-00036,제이투(J2)헤어,salon,일반미용업,미용업,"서울특별시 마포구 월드컵북로5길 21, 1층 102호 (서교동)",서울특별시 마포구 서교동 448-1 1층 102호(건물 좌측에서),023231995,2002-09-06,영업,hongdae,,PENDING_REVIEW
3130000-204-2003-00001,미스터 송헤어,salon,일반미용업,미용업,"서울특별시 마포구 동교로 175 (동교동,2층)",서울특별시 마포구 동교동 201-32 2층,023355064,2003-01-08,영업,hongdae,,PENDING_REVIEW
3130000-204-2003-00010,지 헤어샵,salon,일반미용업,미용업,서울특별시 마포구 포은로 48 (합정동),서울특별시 마포구 합정동 434-1,023367885,2003-02-19,영업,hongdae,,PENDING_REVIEW
3130000-204-2003-00096,JK뷰띠크,salon,일반미용업,미용업,서울특별시 마포구 양화로7길 55 (서교동),서울특별시 마포구 서교동 382-21,023321992,2003-12-04,영업,hongdae,,PENDING_REVIEW
3130000-204-2004-00021,풀잎미용실,salon,일반미용업,미용업,서울특별시 마포구 토정로 41 (합정동),서울특별시 마포구 합정동 368-45,023256427,2004-03-25,영업,hongdae,,PENDING_REVIEW
3130000-204-2004-00036,민,salon,일반미용업,미용업,"서울특별시 마포구 연희로 19-1, 지하1층 (동교동)",서울특별시 마포구 동교동 113-81 지하1층 일부,023248657,2004-08-18,영업,hongdae,,PENDING_REVIEW
3130000-204-2004-00057,헤어오클리,salon,일반미용업,미용업,서울특별시 마포구 동교로27길 12 (동교동),서울특별시 마포구 동교동 198-8,0231425512,2004-12-07,영업,hongdae,,PENDING_REVIEW
3130000-204-2005-00032,서연헤어,salon,일반미용업,미용업,"서울특별시 마포구 토정로 148, 1층 (상수동)",서울특별시 마포구 상수동 60-2 1층,31416012,2005-06-10,영업,hongdae,,PENDING_REVIEW
3130000-204-2005-00056,더 컷,salon,일반미용업,미용업,"서울특별시 마포구 와우산로15길 27 (서교동,101호)",서울특별시 마포구 서교동 411-19 101호,03371250,2005-11-23,영업,hongdae,,PENDING_REVIEW
3130000-204-2005-00060,정다연 헤어샾,salon,일반미용업,미용업,"서울특별시 마포구 와우산로23길 9, 칼리오페 2층 204호 (서교동)",서울특별시 마포구 서교동 344-6 칼리오페,023631124,2005-11-18,영업,hongdae,,PENDING_REVIEW
3130000-204-2006-00020,신짱헤어,salon,일반미용업,미용업,서울특별시 마포구 동교로27길 93 (연남동),서울특별시 마포구 연남동 493-14,023375001,2006-03-30,영업,hongdae,,PENDING_REVIEW
3130000-204-2006-00030,전헤어,salon,일반미용업,미용업,"서울특별시 마포구 잔다리로 124-1 (서교동, 1층 일부)",서울특별시 마포구 서교동 457-1 1층 일부,0231413640,2006-05-17,영업,hongdae,,PENDING_REVIEW
3130000-204-2006-00039,준오헤어,salon,일반미용업,미용업,"서울특별시 마포구 홍익로 17 (서교동, 흥부빌딩3층)",서울특별시 마포구 서교동 358-2 흥부빌딩3층,0231420621,2006-08-11,영업,hongdae,juno-hair-garosugil,PENDING_REVIEW
3130000-204-2006-00055,라니헤어,salon,일반미용업,미용업,"서울특별시 마포구 월드컵북로5나길 18, 1층 110호 (서교동, 대우미래사랑)",서울특별시 마포구 서교동 487,023258834,2006-10-11,영업,hongdae,,PENDING_REVIEW
3130000-204-2007-00016,올헤어갤러리,salon,일반미용업,미용업,서울특별시 마포구 잔다리로6길 18 (서교동),서울특별시 마포구 서교동 368-2,0231433149,2007-04-20,영업,hongdae,,PENDING_REVIEW
3130000-204-2007-00027,머리,salon,일반미용업,미용업,서울특별시 마포구 동교로19길 56 (서교동),서울특별시 마포구 서교동 449-7 101호,023337029,2007-06-18,영업,hongdae,,PENDING_REVIEW
3130000-204-2008-00009,김쌤미용실,salon,일반미용업,미용업,"서울특별시 마포구 성미산로 126, 1층 (연남동)",서울특별시 마포구 연남동 509-2,023381015,2008-05-08,영업,hongdae,,PENDING_REVIEW
3130000-204-2008-00013,모즈헤어 프리빌레쥬 서교,salon,일반미용업,미용업,"서울특별시 마포구 동교로 141, MC빌딩 1,2,3층 (서교동)",서울특별시 마포구 서교동 461-24 MC빌딩,023226602,2008-05-19,영업,hongdae,,PENDING_REVIEW
3130000-204-2011-00001,라비(RAVI),salon,일반미용업,미용업,"서울특별시 마포구 양화로 100, 2층 (서교동)",서울특별시 마포구 서교동 372-1,023250401,2011-03-24,영업,hongdae,,PENDING_REVIEW
3130000-204-2012-00001,메이크어노이즈(MAKE A NOISE),salon,일반미용업,미용업,"서울특별시 마포구 동교로 181-7 (동교동, 1층)",서울특별시 마포구 동교동 201-39 1층,023326117,2012-09-28,영업,hongdae,,PENDING_REVIEW
3130000-204-2012-00003,더 헤어샵,salon,일반미용업,미용업,서울특별시 마포구 독막로3길 24-10 (서교동),서울특별시 마포구 서교동 396-27 지하 비호,07081530320,2012-10-17,영업,hongdae,,PENDING_REVIEW
3130000-211-1994-00001,샬롬미용실,salon,일반미용업,일반미용업,"서울특별시 마포구 와우산로29길 9, 1층 3호 (서교동)",서울특별시 마포구 서교동 337-1 1층 3호,023636452,1994-06-03,영업,hongdae,,PENDING_REVIEW
3130000-211-1994-00003,준오헤어홍대연남점,salon,일반미용업,일반미용업,"서울특별시 마포구 양화로 196, 동성빌딩 1층 (동교동)","서울특별시 마포구 동교동 173-16 동성빌딩, 1층",023644970,1994-08-09,영업,hongdae,,PENDING_REVIEW
3130000-211-2008-00015,시에나,salon,일반미용업,일반미용업,"서울특별시 마포구 양화로1길 58, 101호 (합정동, 미성드림빌)",서울특별시 마포구 합정동 389-19 미성드림빌 101호,,2008-10-28,영업,hongdae,,PENDING_REVIEW
3130000-211-2009-00009,양리헤어,salon,일반미용업,일반미용업,"서울특별시 마포구 동교로23길 14, 1층 (동교동)",서울특별시 마포구 동교동 201-16 1층,0264068034,2009-02-17,영업,hongdae,,PENDING_REVIEW
3130000-211-2009-00043,수미용실,salon,일반미용업,일반미용업,"서울특별시 마포구 포은로 44 (합정동,1층)",서울특별시 마포구 합정동 434-7 1층,023370325,2009-06-08,영업,hongdae,,PENDING_REVIEW
3130000-211-2009-00079,김미경헤어,salon,일반미용업,일반미용업,"서울특별시 마포구 독막로8길 29, 1층 (합정동)",서울특별시 마포구 합정동 358-15 1층,0231416660,2009-09-21,영업,hongdae,,PENDING_REVIEW
3130000-211-2009-00110,마실헤어 홍대점,salon,일반미용업,일반미용업,"서울특별시 마포구 와우산로21길 19-8, 태경빌딩 3층 (서교동)",서울특별시 마포구 서교동 364-2 태경빌딩 3층,023249421,2009-12-31,영업,hongdae,,PENDING_REVIEW
3130000-211-2010-00011,탄포포헤어,salon,일반미용업,일반미용업,"서울특별시 마포구 양화로7길 6-5, 2동 1층 101호 (서교동, 와와빌딩)",서울특별시 마포구 서교동 391-18 2동 101호,0203331986,2010-03-12,영업,hongdae,,PENDING_REVIEW
3130000-211-2010-00021,모즈헤어 아뜰리에점,salon,일반미용업,일반미용업,"서울특별시 마포구 월드컵북로4길 20, 1층 (동교동)",서울특별시 마포구 동교동 201-25 1층 전체,0203236602,2010-04-16,영업,hongdae,,PENDING_REVIEW
3130000-211-2010-00039,소피아헤어,salon,일반미용업,일반미용업,"서울특별시 마포구 잔다리로3길 31 (서교동,(1층))",서울특별시 마포구 서교동 395-135 (1층),023355012,2010-07-26,영업,hongdae,,PENDING_REVIEW
3130000-211-2010-00043,미니샵 붙임머리,salon,일반미용업,일반미용업,"서울특별시 마포구 와우산로11길 9-8, 3층 (상수동)",서울특별시 마포구 상수동 93-107 3층 전체,07075614601,2010-08-19,영업,hongdae,,PENDING_REVIEW
3130000-211-2010-00046,박승철헤어 스투디오 홍대점,salon,일반미용업,일반미용업,"서울특별시 마포구 어울마당로 135, 3층 (동교동)",서울특별시 마포구 동교동 164-2,023242522,2010-09-06,영업,hongdae,,PENDING_REVIEW
3130000-211-2010-00065,팜므J,salon,일반미용업,일반미용업,"서울특별시 마포구 독막로3길 6, 2층 (합정동)",서울특별시 마포구 합정동 412-29 2층,023322587,2010-11-17,영업,hongdae,,PENDING_REVIEW
3130000-211-2010-00067,soonsikihair순시키헤어,salon,일반미용업,일반미용업,"서울특별시 마포구 와우산로21길 29, 석전빌딩 4층 (서교동)",서울특별시 마포구 서교동 364-31 석전빌딩 4층,023265982,2010-12-01,영업,hongdae,,PENDING_REVIEW
3130000-211-2011-00001,샤미즈,salon,일반미용업,일반미용업,"서울특별시 마포구 토정로4길 21, 소담 1층 (합정동)",서울특별시 마포구 합정동 79-4,0203228147,2011-01-07,영업,hongdae,,PENDING_REVIEW
3130000-211-2011-00024,씨저씨스터,salon,일반미용업,일반미용업,"서울특별시 마포구 어울마당로5길 4 (서교동,(2층))",서울특별시 마포구 서교동 403-11 (2층),023384888,2011-05-12,영업,hongdae,,PENDING_REVIEW
3130000-211-2011-00027,헤어드헤레나,salon,일반미용업,일반미용업,"서울특별시 마포구 양화로 72, 효성해링턴타워 101동 1층 138호 (서교동)",서울특별시 마포구 서교동 494 101동 1층 138호 전체,023380234,2011-05-17,영업,hongdae,,PENDING_REVIEW
3130000-211-2011-00030,지모헤어 홍대점,salon,일반미용업,일반미용업,"서울특별시 마포구 와우산로23길 9 (서교동,(301호))",서울특별시 마포구 서교동 344-6 (301호),0231422562,2011-06-03,영업,hongdae,,PENDING_REVIEW
3130000-211-2011-00034,장싸롱,salon,일반미용업,일반미용업,"서울특별시 마포구 와우산로3길 31 (상수동,1층)",서울특별시 마포구 상수동 337-6 1층,0260854264,2011-06-24,영업,hongdae,,PENDING_REVIEW
3130000-211-2011-00046,더 지오,salon,일반미용업,일반미용업,"서울특별시 마포구 월드컵로1길 14, 201호 (합정동, 마포 한강푸르지오)",서울특별시 마포구 합정동 472 마포 한강푸르지오 201호,0262911543,2011-08-16,영업,hongdae,,PENDING_REVIEW
3130000-211-2011-00059,초이미용실,salon,일반미용업,일반미용업,"서울특별시 마포구 홍익로 10, 101동 지하1층 지135호 (서교동, 서교푸르지오)",서울특별시 마포구 서교동 486 서교푸르지오 101동 지하1층 지135호 전체,023379631,2011-10-07,영업,hongdae,,PENDING_REVIEW
3130000-211-2011-00063,세마헤어,salon,일반미용업,일반미용업,"서울특별시 마포구 양화로18안길 22, B&J빌딩 3층 (동교동)",서울특별시 마포구 동교동 169-22 외 1필지(169-23) B&J빌딩 3층 전체,023336777,2011-10-26,영업,hongdae,,PENDING_REVIEW
3130000-211-2011-00080,미누(Minou),salon,일반미용업,일반미용업,"서울특별시 마포구 동교로38길 30, 4층 (연남동)",서울특별시 마포구 연남동 382-27,,2011-05-09,영업,hongdae,,PENDING_REVIEW
3130000-211-2012-00014,메르시헤어,salon,일반미용업,일반미용업,"서울특별시 마포구 어울마당로1길 21 (합정동, (1층))",서울특별시 마포구 합정동 358-10 (1층),023223210,2012-03-05,영업,hongdae,,PENDING_REVIEW
3130000-211-2012-00027,아띠제헤어,salon,일반미용업,일반미용업,서울특별시 마포구 월드컵북로5길 16 (서교동),서울특별시 마포구 서교동 449-39 (1층),0203250504,2012-05-29,영업,hongdae,,PENDING_REVIEW
3130000-211-2012-00036,에스샵,salon,일반미용업,일반미용업,"서울특별시 마포구 월드컵로14길 10 (서교동, 1층)",서울특별시 마포구 서교동 475-15 (1층),023220444,2012-06-20,영업,hongdae,,PENDING_REVIEW
3130000-211-2012-00048,달콤한게으름,salon,일반미용업,일반미용업,"서울특별시 마포구 양화로 72, 135,136호 (서교동, 서교동 효성 해링턴 타워)",서울특별시 마포구 서교동 494 서교동 효성 해링턴 타워 135호 136호,023223037,2012-08-13,영업,hongdae,,PENDING_REVIEW
3130000-211-2012-00051,이철헤어커커합정점,salon,일반미용업,일반미용업,서울특별시 마포구 독막로3길 27 (서교동),서울특별시 마포구 서교동 395-29,023262326,2012-08-27,영업,hongdae,,PENDING_REVIEW
3130000-211-2012-00053,헤어디자인모습 홍대점,salon,일반미용업,일반미용업,"서울특별시 마포구 동교로 153, 지하1층~지상2층 (서교동)",서울특별시 마포구 서교동 446-12 지하1층~지상2층(전체),023327004,2012-08-27,영업,hongdae,,PENDING_REVIEW
3130000-211-2012-00054,준오헤어,salon,일반미용업,일반미용업,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스몰 지하1층B08,B09,B10호)","서울특별시 마포구 서교동 490 메세나폴리스몰 지하1층B08,B09,B10호",0231416050,2012-09-04,영업,hongdae,juno-hair-garosugil,PENDING_REVIEW
3130000-211-2012-00061,이가자미용실,salon,일반미용업,일반미용업,"서울특별시 마포구 독막로7길 63, 2층 (서교동)",서울특별시 마포구 서교동 395-18 2층,023360077,2012-10-23,영업,hongdae,,PENDING_REVIEW
3130000-211-2012-00066,이경민foret(홍대점),salon,일반미용업,일반미용업,"서울특별시 마포구 월드컵로5길 10, 2층 (합정동)",서울특별시 마포구 합정동 426-12,023377444,2012-11-08,영업,hongdae,,PENDING_REVIEW
3130000-211-2012-00078,라이언스타일(Ryan style),salon,일반미용업,일반미용업,서울특별시 마포구 신촌로2안길 2 (동교동),서울특별시 마포구 동교동 176-13 세아빌딩 2층,023323535,2012-12-24,영업,hongdae,,PENDING_REVIEW
3130000-211-2012-00083,보니따헤어,salon,일반미용업,일반미용업,"서울특별시 마포구 연남로5길 6, 1층 101호 (연남동)",서울특별시 마포구 연남동 509-23 1층 101호,028329888,2012-11-07,영업,hongdae,,PENDING_REVIEW
3130000-211-2012-00085,서교동 헤어살롱B,salon,일반미용업,일반미용업,"서울특별시 마포구 잔다리로 111 (서교동, (1층))",서울특별시 마포구 서교동 468-3 (1층),023362700,2012-02-20,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00003,무어,salon,일반미용업,일반미용업,서울특별시 마포구 성미산로26길 43 (연남동),서울특별시 마포구 연남동 257-8 103호,0231422994,2013-01-17,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00014,켄지 스타일(Kenzi Style),salon,일반미용업,일반미용업,"서울특별시 마포구 와우산로21길 31, 5층 (서교동)",서울특별시 마포구 서교동 364-26,0231447233,2013-02-20,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00022,낭만살롱,salon,일반미용업,일반미용업,"서울특별시 마포구 와우산로29길 27, 2층 201호 (서교동)",서울특별시 마포구 서교동 335-4 2층 201호,,2013-03-18,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00032,레지나다정미용실,salon,일반미용업,일반미용업,"서울특별시 마포구 성지3길 42-6, 201호 (합정동)",서울특별시 마포구 합정동 367-35 201호,023242317,2013-04-23,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00036,헤어큐브,salon,일반미용업,일반미용업,"서울특별시 마포구 동교로 162-10, 1층 (서교동)",서울특별시 마포구 서교동 351-11 1층,023226744,2013-05-27,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00046,문싸롱,salon,일반미용업,일반미용업,"서울특별시 마포구 동교로 220-5, 2층 우측호 (동교동)",서울특별시 마포구 동교동 152-27 2층 우측호,0232751002,2013-08-01,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00055,피움,salon,일반미용업,일반미용업,"서울특별시 마포구 독막로 2, 1층 (합정동)",서울특별시 마포구 합정동 373-17 1층,07076923499,2013-08-30,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00056,헤어살롱아뜨리에,salon,일반미용업,일반미용업,"서울특별시 마포구 와우산로29길 63, JMG빌딩 2층 (엘리베이터 내려서 우측)호 (서교동)",서울특별시 마포구 서교동 332-3 JMG빌딩,023350056,2013-08-30,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00065,본,salon,일반미용업,일반미용업,"서울특별시 마포구 독막로15길 3-13, 4층 401호 (상수동)",서울특별시 마포구 상수동 314-3,023865221,2013-10-08,영업,hongdae,myeongdong-skinspa,PENDING_REVIEW
3130000-211-2013-00078,이수니헤어,salon,일반미용업,일반미용업,서울특별시 마포구 양화로23길 10 (동교동),서울특별시 마포구 동교동 147-16,07041372721,2013-11-19,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00079,하루헤어,salon,일반미용업,일반미용업,"서울특별시 마포구 어울마당로5길 36 (서교동, 삼성빌딩2층)",서울특별시 마포구 서교동 398-8 삼성빌딩2층,023330503,2013-11-20,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00091,가온,salon,일반미용업,일반미용업,서울특별시 마포구 월드컵로7길 13 (합정동),서울특별시 마포구 합정동 426-23 101호,023375677,2013-12-11,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00093,바이이연,salon,일반미용업,일반미용업,"서울특별시 마포구 와우산로23길 42, 2층 (서교동)",서울특별시 마포구 서교동 346-33 2층,023337887,2013-12-27,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00095,카멜레온,salon,일반미용업,일반미용업,"서울특별시 마포구 양화로18안길 12, 5층 502호 (동교동)",서울특별시 마포구 동교동 169-17,07040284649,2013-10-04,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00097,살롱드아론,salon,일반미용업,일반미용업,"서울특별시 마포구 포은로 25, 1층 (합정동)",서울특별시 마포구 합정동 395-4 1층일부,028761379,2013-02-05,영업,hongdae,,PENDING_REVIEW
3130000-211-2013-00098,어바웃9 홍대입구 본점,salon,일반미용업,일반미용업,"서울특별시 마포구 홍익로 9-1, 2층 (서교동)",서울특별시 마포구 서교동 358-151,,2013-10-14,영업,hongdae,,PENDING_REVIEW
3130000-211-2014-00018,마스터피스(Masterpiece),salon,일반미용업,일반미용업,"서울특별시 마포구 성미산로29길 40-18, Plan M 3층 (연남동)",서울특별시 마포구 연남동 241-41 Plan M,023323198,2014-04-02,영업,hongdae,,PENDING_REVIEW
3130000-211-2014-00029,카이정헤어 마포서교점,salon,일반미용업,일반미용업,"서울특별시 마포구 잔다리로 48, 1층 (서교동)",서울특별시 마포구 서교동 372-2,023049055,2014-05-13,영업,hongdae,,PENDING_REVIEW
3130000-211-2014-00049,로얄 살롱,salon,일반미용업,일반미용업,"서울특별시 마포구 와우산로29바길 19, 삼이빌딩 2층 (서교동)",서울특별시 마포구 서교동 332-15 삼이빌딩,0263483535,2014-07-24,영업,hongdae,,PENDING_REVIEW
3130000-211-2014-00055,제제,salon,일반미용업,일반미용업,"서울특별시 마포구 양화로18길 15, 3층 (동교동)",서울특별시 마포구 동교동 169-14,023374782,2014-08-22,영업,hongdae,,PENDING_REVIEW
3130000-211-2014-00068,헤어샵 예예(hairshop YeYe),salon,일반미용업,일반미용업,"서울특별시 마포구 양화로6길 57-22, 2층 (서교동)",서울특별시 마포구 서교동 399-26 2층 전체,0231423223,2014-10-02,영업,hongdae,,PENDING_REVIEW
3130000-211-2014-00071,136524 유니크(Unique),salon,일반미용업,일반미용업,"서울특별시 마포구 와우산로18길 12, 5층 (서교동)",서울특별시 마포구 서교동 360-21,,2014-10-08,영업,hongdae,,PENDING_REVIEW
3130000-211-2014-00082,마르떼헤어,salon,일반미용업,일반미용업,"서울특별시 마포구 독막로20나길 21, 상가동 1층 107호 (상수동, 래미안 밤섬 리베뉴Ⅱ)",서울특별시 마포구 상수동 398 래미안 밤섬 리베뉴Ⅱ 상가 1층 107호 전체,023233445,2014-11-07,영업,hongdae,,PENDING_REVIEW
3130000-211-2014-00084,어베일헤어드레싱,salon,일반미용업,일반미용업,"서울특별시 마포구 독막로20나길 21, 101호 (상수동)",서울특별시 마포구 상수동 398-101 삼성래미안아파트단지내상가,0264155775,2014-11-10,영업,hongdae,,PENDING_REVIEW
3130000-211-2014-00088,어반 헤어스타일러,salon,일반미용업,일반미용업,"서울특별시 마포구 양화로6길 18, B동 2층 2-B호 (합정동)",서울특별시 마포구 합정동 413-27,0271536703,2014-11-27,영업,hongdae,,PENDING_REVIEW
3130000-211-2014-00090,새벽,salon,일반미용업,일반미용업,"서울특별시 마포구 잔다리로6길 20-12, 1,2,3층 (서교동)",서울특별시 마포구 서교동 368-14,,2014-12-02,영업,hongdae,,PENDING_REVIEW
3130000-211-2015-00001,코브,salon,일반미용업,일반미용업,"서울특별시 마포구 양화로11길 50, 3층 (서교동)",서울특별시 마포구 서교동 384-3,,2015-01-05,영업,hongdae,,PENDING_REVIEW
3130000-211-2015-00008,라망데듀,salon,일반미용업,일반미용업,"서울특별시 마포구 독막로18길 31, 1층 (상수동)",서울특별시 마포구 상수동 331-9,023235879,2015-01-14,영업,hongdae,,PENDING_REVIEW
3130000-211-2015-00017,미미헤어,salon,일반미용업,일반미용업,"서울특별시 마포구 연남로3길 81, 1층 101호 (연남동, 도화엘리시아)",서울특별시 마포구 연남동 564-25 도화엘리시아,,2015-02-02,영업,hongdae,,PENDING_REVIEW
3130000-211-2015-00018,헤어블러썸,salon,일반미용업,일반미용업,"서울특별시 마포구 잔다리로 71, 아내뜨빌딩 1층 102-1호 (서교동)",서울특별시 마포구 서교동 466-19 아내뜨빌딩,0231419779,2015-02-04,영업,hongdae,,PENDING_REVIEW
3130000-211-2015-00023,오버마운트(OVERMOUNT),salon,일반미용업,일반미용업,"서울특별시 마포구 월드컵로16길 9, 1층,2층 (서교동)","서울특별시 마포구 서교동 438-22 1층, 2층",023345858,2015-02-17,영업,hongdae,,PENDING_REVIEW
3130000-211-2015-00030,봄오후2시,salon,일반미용업,일반미용업,"서울특별시 마포구 동교로25길 7, 2층 (동교동)",서울특별시 마포구 동교동 201-10,023338662,2015-02-25,영업,hongdae,,PENDING_REVIEW
3130000-211-2015-00031,조경미 헤어샵,salon,일반미용업,일반미용업,"서울특별시 마포구 성미산로6길 49, 1층 102호 (서교동)",서울특별시 마포구 서교동 473-24,,2015-02-25,영업,hongdae,,PENDING_REVIEW
3130000-211-2015-00036,메이헤어,salon,일반미용업,일반미용업,"서울특별시 마포구 연남로 42, 비동 104호 (연남동, 코오롱아파트상가)",서울특별시 마포구 연남동 573-1,023329770,2015-03-05,영업,hongdae,,PENDING_REVIEW
3130000-211-2015-00039,씨에이치오피헤어비올라지점,salon,일반미용업,일반미용업,"서울특별시 마포구 어울마당로 51-1, 2,3층 (서교동)",서울특별시 마포구 서교동 403-3,023380709,2015-03-18,영업,hongdae,,PENDING_REVIEW
3130000-211-2015-00042,핀다,salon,일반미용업,일반미용업,"서울특별시 마포구 양화로3길 95, 101호 (합정동)",서울특별시 마포구 합정동 428-55,,2015-03-24,영업,hongdae,,PENDING_REVIEW
